Kategorija,id,Naslov,Ogledi,Glasovi,Število odgovorov,Ima sprejet odgovor,Avtor,Čas objave
trending,5074202,"Is there an explicit formula for $(\sum_{i=1}^{n-1} \gcd (i,n)) \pmod{n}$?",191,4,1,True,Archie,Jun 9 at 21:43
trending,5078420,Inverse Mellin Transform with Singular Measure,34,1,0,False,Ollie,Jun 25 at 11:04
trending,5077222,Ring element as matrix over subring,62,0,1,True,Andrew Yuan,Jun 20 at 22:15
trending,5075019,What is the purpose of the witnesses in Big O notation?,212,1,3,False,PEREZ MONSIVAIS JOSE DE JESUS ,Jun 12 at 17:49
trending,5078214,Conditions for fast convergence in Wasserstein distance?,55,0,0,False,Yaroslav Bulatov,Jun 24 at 16:54
trending,5073370,Convergence of the sequence: $\sqrt[3]{n^3+an^2}\ - \sqrt[3]{n^3-an^2}$,129,2,4,True,Arzyo,Jun 6 at 20:08
trending,5075755,Showing integral of modulus bounded implies normal family,97,3,1,False,Caroline,Jun 15 at 21:36
trending,5074690,Lowerbound for size of set of vertices in a DAG Markov chain,289,4,1,True,advocateofnone,Jun 11 at 15:20
trending,5077437,A reference for the computation of sectional curvatures of the warp product.,41,0,0,False,Yasha,Jun 21 at 16:50
trending,5069570,How to combine linear and quadratic inequalities?,524,4,2,True,user1540346,May 23 at 1:43
trending,5074684,Proving $R_{fg} \cong R_f \otimes_R R_g$,162,2,2,True,user330531,Jun 11 at 14:46
trending,5077128,Number of possible triplets for weak Goldbach&#39;s conjecture.,65,-1,0,False,Kyathallous,Jun 20 at 15:51
trending,323334,What was the first bit of mathematics that made you realize that math is beautiful? (For children&#39;s book) [closed],58353,660,164,False,,
trending,5078132,Is there an abstract description of the graphs underlying Feynman diagrams?,28,0,0,False,Mozibur Ullah,Jun 24 at 11:31
trending,5077701,Prove independence of two L&#233;vy processes from Protter&#39;s book,39,0,1,True,XTY,Jun 22 at 17:41
trending,5075483,Prove $\sup (\{x \in \mathbb Q | x^2 &lt; 2\}) \geq \sup(\{x \in \mathbb R | x^2 &lt; 2\})$,101,0,4,True,UsedT0Be,Jun 14 at 16:26
trending,5076415,How to interpret spherical integration proposition with rotation invariant probability measure?,46,1,1,True,Tuong Nguyen Minh,Jun 18 at 6:26
trending,5079540,"Measure concentration on sphere, question about inequality",53,1,0,False,Josh.K,Jun 29 at 22:08
trending,5075714,"If $X$ is a topological space, what restrictions do the countability properties put on $\left|X\right|$?",84,2,1,True,Eigenfield,Jun 15 at 17:03
trending,5076454,Separating family of seminorms imply the existence of a neighborhood basis whose intersection contains only the origin,46,2,1,True,NTc5,Jun 18 at 9:34
trending,5076675,Geometric interpretations of Farey addition and the role of $|ad-bc|=1$?,86,2,0,False,F. A. Mala,Jun 19 at 3:56
trending,5076299,Accidentally Overcounting on a Marriage Question,78,1,1,True,mrsus,Jun 17 at 19:16
trending,5077521,Find the length of a helix that wraps a torus at a given angle,42,-1,0,False,Bryan Smith,Jun 22 at 0:48
trending,5077599,Automorphism group of Dih(A),62,1,0,False,UGOBEL,Jun 22 at 9:38
trending,5077488,Resources on methods of integration (and/or approximation of integration) on the unit sphere?,55,2,0,False,Anon,Jun 21 at 20:52
trending,5077760,Solutions to $a(x^n-x^m)=(ax^m-4)y^2$ [duplicate],47,1,0,False,Anon,Jun 23 at 1:32
trending,5075270,An alternative to the sub-direct representation theorem,133,3,1,True,Carlyle,Jun 13 at 18:10
trending,5077895,"CG interpolation problem, but with $p(0)=0$ and $p&#39;(0)=1$",30,1,0,False,lenskihe,Jun 23 at 11:57
trending,5073562,Quest for Spivak-quality books ― calling all bibliographical insiders [closed],458,4,1,True,Amanda Wealth,Jun 7 at 13:06
trending,5069161,"Solving $\int_{1.922355}^{\infty} \frac{\sin(x^2-e^x)}{\ln(x)x^2} \,dx$.",561,10,2,True,Carlo,May 21 at 17:41
trending,5077690,Bounds on the spectrum of a bounded linear operator in Evans&#39; PDEs,44,0,1,True,TOP STIN ELLADA,Jun 22 at 17:04
trending,5076304,$\mathbb{Z}_n$ action on $n$-tuples,65,0,1,True,Orel_Algebraist,Jun 17 at 19:57
trending,5075735,"Rudin says that if $A$ is given by (3), then $A\in L(X,Y)$. But I think $A$ cannot be given by (3). (Walter Rudin&#39;s book.)",101,2,2,True,tchappy ha,Jun 15 at 19:09
trending,5078316,Closed subschemes of $\mathbb{P}^n\times \mathbb{P}^m$ cutout by bihomogenous polynomial [duplicate],39,0,0,False,mattematician ,Jun 24 at 23:56
trending,5078907,Rewriting $\sum_{k=2}^{\infty}\ln^{-1-ik}(k)e^{ikx}$ as a distribution,38,1,0,False,Thinh Dinh,Jun 27 at 8:17
trending,5080061,how to show that generic persistence modules are dense for the interleaving distance,12,0,0,False,Cl&#233;ment Baillet,Jul 2 at 0:42
trending,5076331,What is a natural transformation of short maps?,46,3,1,False,Keith,Jun 17 at 22:48
trending,5074196,Partitions. Explanation of Euler&#39;s device of adding a variable.,243,2,2,True,Older Amateur,Jun 9 at 21:27
trending,5076152,Residue at infinity of $\frac{z - 4}{(z + i)(z - i)^3}$,67,0,3,False,datfq,Jun 17 at 8:22
trending,5077144,Theorem on Elliptic functions,91,1,0,False,Roccooi,Jun 20 at 16:43
trending,5076156,Computing this integral using complex analysis,84,0,1,False,,Jun 17 at 8:31
trending,5074746,"Partitioning $[0,1]$ and summing polynomials on alternating subintervals",144,4,2,True,rosemary 2.0,Jun 11 at 19:31
trending,5077709,"Can a residue class modulo small prime q miss all primes in [E/3, E/2] for some large E.",42,0,0,False,Felix Fowler,Jun 22 at 18:36
trending,5078322,What definition of polytope is being used in Motzkin&#39;s characterisation of unbounded polytopes?,26,0,0,False,Mozibur Ullah,Jun 25 at 1:55
trending,5076621,Find the probability that I wear matching socks on both the third day and the fifth day,74,0,1,True,k1r1t0,Jun 18 at 21:03
trending,5074080,Numerically greatest coefficient in the expansion of $(1+x+x^2)^n$,224,4,2,True,Cognoscenti,Jun 9 at 13:15
trending,5066652,$4n^2$ is not a sum of four distinct odd perfect squares,202,1,4,True,Raj Pratap Singh,May 19 at 19:56
trending,5076448,Proving for a Dedekind cut $x$ that $x + (-x) = 0^*$,81,0,0,False,C Acuna,Jun 18 at 9:07
trending,5071914,When is $E[(1-X)^n]=(1-E[X^n])E[(1-X)^{n-1}]$?,251,6,3,True,Yaroslav Bulatov,Jun 1 at 15:13
trending,5077111,When Is the Central Coefficient of a Cyclotomic Polynomial Even?,63,1,0,False,sec arc,Jun 20 at 14:33
trending,5074836,Find error in evaluation of $\lim\limits_{n\to\infty}\sum\limits_{k=1}^n\frac{k^n}{n^n}$,142,2,2,True,youthdoo,Jun 12 at 4:20
trending,5076923,Volume growth of manifold example,51,0,1,False,SubGui,Jun 20 at 1:03
trending,5077419,Completion of structure sheaf commutes with pullback along finite morphism?,54,1,0,False,Doug,Jun 21 at 15:35
trending,5076793,How are quasi-orders related to partitions and partial orders?,44,0,0,False,F. A. Mala,Jun 19 at 14:01
trending,5074612,"Proof of $\int_0^{\infty}x^{s-1}\left(\frac{e^{-ax}}{1-e^{-x}}-\frac{1}{x}\right)dx=\Gamma(s)\zeta(s,a)$ , $&#120782; &lt; &#120189;&#120202;(&#119956;) &lt; &#120783;$",165,0,2,False,Pratham Prasad,Jun 11 at 9:26
trending,5076329,"Why are we taking discriminant zero for $t^2 +at +3$, where $t = \frac{x}{1 + x^2}$",72,-2,1,False,user1651850,Jun 17 at 22:45
trending,5077455,Does a function always have an even number of algebraic branch points?,58,1,1,False,Carmeister,Jun 21 at 17:59
trending,5079439,Is it possible for the Legendre polynomial to sample a step funciton of finite height and then a second step function?,34,0,1,False,ShoutOutAndCalculate,Jun 29 at 13:25
trending,5076736,How come the merchant is making a profit?,78,0,2,False,Thomas Finley,Jun 19 at 10:39
trending,5075237,Determine all of the entire functions such that $\left|f\left(f(z)\right)\right|\leq 1 \space \forall z\in \mathbb{C}$,129,1,1,False,Sigma Algebra,Jun 13 at 15:52
trending,5075622,"Closed form for ${}_2F_1\left(1, 2n+2; 2n+3; -\frac{1}{a} \right)$ [duplicate]",129,2,0,False,Amrut Ayan,Jun 15 at 8:28
trending,5072026,"Evaluating $\int_{\mathbb{R}^n} \frac{|x|^{2}}{|x|^{8} + 2|x|^{4}\cos \left( \theta \right) + 1} \, dx $",116,3,1,True,,Jun 2 at 4:11
trending,5077761,What is this strange overbar notation used with the Convolution Theorem in Crick&#39;s famous analysis of DNA double helix x-ray diffraction pattern?,67,0,1,False,user3196617,Jun 23 at 1:32
trending,5074174,Prove that the &quot;natural preorder&quot; on a skew lattice is a preorder,120,5,2,True,shirAko,Jun 9 at 18:57
trending,5077612,Homeomorphism / theorem that led to the spherical coordinate version of the following integral for the sphere&#39;s surface area?,52,2,0,False,Anon,Jun 22 at 10:41
trending,5077037,Course on Curve Singularities and Invariants [closed],63,1,0,False,Mousa Hamieh,Jun 20 at 9:39
trending,5077252,What equivalence relation is implicit in the Kodaira symbol classification of Elliptic curves?,79,2,0,False,Poitou-Tate,Jun 21 at 1:47
trending,5075790,$y[n] = y[n-1] + x[n] - x[n] y[n-1]$,65,0,1,True,Srini,Jun 16 at 3:26
trending,5074254,"Is it always true that $T_n=S_n-S_{n-1}$, where $T_n$ is the $n$-th term of a series and $S_n$ is the sum of the first $n$ terms of that series?",120,0,1,True,Akira,Jun 10 at 3:42
trending,5079816,"we may take to be of the form $A\times B$, such that $F:A\times B\to W$ has a differentiable inverse $h:W\to A\times B$. Spivak Calculus on Manifolds.",24,0,0,False,tchappy ha,Jul 1 at 1:49
trending,5075684,Why can&#39;t I plug values of $x$ and $c$ in the remainder theorem? [closed],129,-4,1,False,Badis Kerdellou,Jun 15 at 13:33
trending,5073166,Multipling by a constant in implicit differentiation,228,2,2,True,Mike,Jun 6 at 6:58
trending,5077320,Convergence of gradient under Armijo condition,47,1,1,True,Miranda,Jun 21 at 7:49
trending,5076441,“Formula for Counting Regions Created by Parallel and Perpendicular Lines in a Box,54,3,1,False,Sharks3323,Jun 18 at 8:33
trending,5076797,Confusion on part of a theorem (Kolmogorov) from applied probability course notes,71,0,0,False,Hayley Inglis,Jun 19 at 14:26
trending,5076904,Are these polynomials familiar? Where can I find information about them?,91,2,0,False,Susana Santoyo,Jun 19 at 22:58
trending,5074508,How much more theory strength does the local reflection principle over $\mathrm{PA}$ provide?,125,2,2,False,Kotlopou,Jun 10 at 22:16
trending,5074915,A certain Noetherian domain of dimension $1$ is normal away from a prime ideal,135,1,2,True,Gay Lussac,Jun 12 at 11:26
trending,5076896,Why doesn’t a $2$–$1$ point mix from the Erdős–Szekeres construction form a convex/concave sequence?,31,1,1,True,Juan Moreno,Jun 19 at 21:46
trending,5066885,Does there exist any functional which doesn&#39;t attain its norm?,461,3,1,True,&#235;l&#234;tro,May 20 at 15:08
trending,5078746,"For which $f \in k[x,y], g \in k[x,y,z]$ is it possible to find $c \in k$ such that $f(x,y)$ and $g(x,y,c)$ have no common zeros?",44,0,0,False,user237522,Jun 26 at 14:35
trending,5078467,Is there a bounded t-structure on $D^b(\operatorname{Coh}(X))$ whose heart is not noetherian?,33,2,0,False,aid,Jun 25 at 14:28
trending,5077738,Extending a function from $\Bbb N$ to $\Bbb R$ [duplicate],41,0,0,False,whoisit,Jun 22 at 22:21
trending,5077171,&quot;Quotienting out&quot; some known solutions from a system of polynomial equations,62,0,1,False,user7530,Jun 20 at 18:03
trending,5076741,Making sense of product of differentials,76,2,0,False,Luke__,Jun 19 at 10:50
trending,5058050,About the inequality $\sum \frac{x_j}{1-x_j} \sum \frac{y_j}{1-y_j} \ge \sum \frac{x_j}{1-y_j} \sum \frac{y_j}{1-x_j}$,2159,32,3,True,Martin R,Apr 20 at 20:51
trending,5070122,"If $(\mathbb R,&lt;,+,\boxdot)$ is an ordered division ring, is it automatically a field?",242,6,2,True,Enrico,May 25 at 12:24
trending,5078732,Step in proof of Gagliardo&#39;s Trace theorem,23,0,0,False,Avijit Dikey,Jun 26 at 13:22
trending,5069476,"The number of ways in which 10 candidates $A_1,A_2,...,A_{10}$ can be ranked so that $A_1$ is always above $A_2$, is:",131,1,2,True,Satyam,May 22 at 17:53
trending,5077976,Uniquness for piecewise continuous solutions to scalar conservation laws,34,2,1,False,ktoi,Jun 23 at 18:13
trending,5066236,"Uniform convergence of $\sum\limits_{n=1}^{\infty} x^ne^{-nx^n}$ on $(0,1)$.",761,26,2,True,poormather,May 18 at 8:25
trending,5075723,Can someone tell me what&#39;s wrong with this limit proof? [closed],92,-3,1,False,Kelemen,Jun 15 at 17:45
trending,5076077,"Why does marginalizing a joint distribution $P(X,Y)$ over $Y$ give the marginal $P(X)$?",103,1,2,False,Valen da Silva,Jun 17 at 2:57
trending,5077978,Proof of combinatorial identity involving harmonic numbers and product of binomial coefficients,73,0,0,False,JetfiRex,Jun 23 at 18:27
trending,5076049,canonical parametrization for $C^1$ maps.,68,3,1,True,Lolman,Jun 16 at 22:47
trending,5071879,Defining $\mathbb{R}^{1/2}$?,298,6,2,True,Helpsilon Delta,Jun 1 at 12:29
trending,5078294,Compensating optimal PD gains for a simple two-state linear system with different position/velocity measurement delays,33,0,0,False,user3716267,Jun 24 at 21:07
trending,5060946,"The integral has a closed-form solution $\int_0^1\frac{1}{\sqrt{\frac1x+x}+\sqrt{\frac1x-x}} \, \mathrm{d}x$?",639,21,3,True,Laura Olatex,Apr 30 at 9:42
trending,5075897,Looking for shorter proof that order of Galois group of cyclotomic field is finite,100,0,3,True,John Doe,Jun 16 at 12:50
trending,5073008,Can this equation be simplified any further without introducing extra discontinuities?,167,0,1,True,Lawton,Jun 5 at 16:06
trending,5078821,Every alternating form of $\mathcal{A}^n(V)$ is given by its value on a basis times a determinant [duplicate],19,1,0,False,Gabriela Martins,Jun 26 at 20:37
trending,5076614,Proof that being Cartan is hereditary,71,1,1,True,SihOASHoihd,Jun 18 at 20:37
trending,5075128,Find lim $\dfrac{q_n^x}{n}$,94,1,1,True,Lục Trường Ph&#225;t,Jun 13 at 7:43
trending,5077654,What are other surprising results about Dickman&#39;s function?,60,0,0,False,Zima,Jun 22 at 14:03
trending,5074827,Is it Enough for Axioms to Hold over an Equivalence Relation?,72,0,1,False,Ryder Mendelson,Jun 12 at 3:40
trending,5077605,In how many ways can a customer choose 3 different flavors of ice cream? [closed],40,-3,1,True,Norma 45,Jun 22 at 10:12
trending,5071164,"Can we evaluate the generalised integral $\int _0^{2\pi }\frac{1}{\Gamma \left(a-e^{bix}\right)}dx$ for any real numbers $a,b\ge1$?",326,10,2,True,Lai,May 29 at 11:31
trending,5077110,A principal prime ideal in a UFD $R$ has coheight equal to $\operatorname {dim} R-1$,53,1,1,True,Gay Lussac,Jun 20 at 14:29
trending,5076017,very confusing derangements problem on matching animals to their food bowls.,66,0,1,False,,Jun 16 at 20:21
trending,5081938,Expected number of black tiles in $3 \times n$ grid when no $3$ in line,57,0,0,False,ploosu2,Jul 9 at 18:27
trending,5060160,"Can the irrationals be partitioned into dense, disjoint subsets?",1659,9,4,True,EatingTechnobladesRemainsAt3am,Apr 27 at 19:18
trending,5075174,"T/F: $X, Y$ Banach spaces. $T\in L(X, Y)$ is a compact norm-attaining operator $\iff T^*\in L(Y^*, X^*)$ is also a compact norm-attaining operator.",62,5,1,True,Tuh,Jun 13 at 11:05
trending,5076250,Why can&#39;t we just use classes as models of ZF? [duplicate],136,1,0,False,William Oliver,Jun 17 at 14:41
trending,5074650,"Showing that $J_{\nu}(j_{\nu+1, 1})&lt; 0$",120,2,1,True,John Bon,Jun 11 at 12:07
trending,5074571,How to find the maximum value of $\cos x+\cos\left(\sqrt{11}x\right)?$,102,2,2,True,Integreek,Jun 11 at 5:53
trending,5078146,Rasch&#39;s argument for the separability property of a Poisson distribution with expectation $\xi = \theta\sigma$,27,0,0,False,Martin Vaughan,Jun 24 at 12:20
trending,5075971,Morphism from sextic curve to elliptic one,117,1,1,True,Roccooi,Jun 16 at 17:38
trending,5077255,Dirichlet-Liouville type integral over simplex,48,1,0,False,usernew76,Jun 21 at 1:50
trending,5073955,"Find all the positive solutions of a Laplace equation on $(0,1)\times (0, \infty)$",121,3,1,False,icyyy2233,Jun 9 at 4:49
trending,5076629,Identifying a monotone transformation of a linear function,52,-1,1,False,Erel Segal-Halevi,Jun 18 at 22:51
trending,5075912,Infinite images formed by polygonal mirror,72,3,0,False,General ASWalter,Jun 16 at 13:45
trending,5077611,Existence of a strong Mal&#39;cev basis for a nilpotent Lie algebra,37,0,0,False,Manan,Jun 22 at 10:38
trending,5075070,Probabilistic Results on the Rationals,69,0,1,False,user1649362,Jun 12 at 22:44
trending,5075853,Are all polygons with even sides identified by pairs always a surface?,94,1,1,False,Alonso,Jun 16 at 8:37
trending,5076607,Solving the system $-\frac{b}{a}=\sin\left(\frac{1}{2}-\frac{g}{b}\right)$ and $y=a+b$ for $a$ and $b$,104,1,1,False,Pentageer Joshua Meetsma,Jun 18 at 20:21
trending,5072460,Equality of two series sum.,338,2,2,True,San Ti,Jun 3 at 15:58
trending,5074655,"Prove $\forall a,b,c \in \mathbb{R}, \sum \frac{ab}{(a-b)^2} +1\ge \frac{9(ab+bc+ca)}{\left(a+b+c\right)^{2}}$",174,3,1,False,30 Anh Ti 711,Jun 11 at 12:33
trending,5075929,General Model for Multiplication &amp; Division?,108,-2,0,False,Runsva,Jun 16 at 14:58
trending,5073073,Analytic Number Theory - Self-Study Plan,283,4,1,False,David Orndorf,Jun 5 at 20:43
trending,5075627,What is the interpretation of this definition of &quot;cluster&quot;?,69,0,2,False,Prime Mover,Jun 15 at 8:49
trending,5074853,Is there a way of defining inner products to make sure that the distance is defined as a taxicab geometry? [closed],128,3,1,True,Mango Mochi,Jun 12 at 6:06
trending,5035382,Are these figures homeomorphic?,2632,34,6,True,Gustavo,Feb 14 at 22:33
trending,5076001,Can a differentiable manifold in ${\bf R}^n$ not be connected or smooth? [closed],102,1,1,False,Nomix Mar Rue,Jun 16 at 19:14
trending,5072477,How to derive the density formula for $Y=h(X)$ when $h$ is not injective?,221,8,1,True,mathematico,Jun 3 at 17:30
trending,5076996,Good application example of closed graph theorem,66,-3,1,False,sharpe,Jun 20 at 6:46
trending,5081907,What are the consequences of Levelt-Turritin for formal microlocalization of $D$-modules?,16,0,0,False,user1515097,Jul 9 at 16:09
trending,5080284,Mean preserving spread of a shifted lottery,24,0,0,False,Ramandeep,Jul 2 at 19:04
trending,5074115,Torsion points on the elliptic curve $y^2=x^3+Dx$,63,0,1,True,Fede1618,Jun 9 at 15:24
trending,5074544,On the splitting criterion for conjugacy classes in the alternating group,118,2,1,True,Kan&#39;t,Jun 11 at 3:10
trending,5072527,Chaos theory problems and arbitrary precision,58,3,1,False,Are,Jun 3 at 22:05
trending,5077154,Divergence Theorem gives different answer for the flux of a vector field,53,0,0,False,herashefat,Jun 20 at 17:11
trending,5077563,Dividing a triangle into triangles in such a way that the same number of sides meet at each vertex. No upper limit?,41,1,0,False,user706071,Jun 22 at 6:04
trending,5075866,The congruence of two chords formed by a certain arrangement of three circles,77,2,2,True,aimless,Jun 16 at 9:43
trending,5073839,How to parametrize $x^2-x+y^2-y+xy=0$? [closed],101,-2,3,True,Jule,Jun 8 at 17:58
trending,5077843,What is the most efficient way to evaluate the Legendre symbol $(\frac{a}{p})$?,63,-1,0,False,F. A. Mala,Jun 23 at 8:09
trending,5076663,Prove Big-$O$ growth for summing an unbounded number of bounded functions,69,0,1,False,Robert Lee,Jun 19 at 2:12
trending,5077008,VC-Dimension for finite domain and maximum $k$ hypothesis class,50,0,1,True,n-0,Jun 20 at 7:28
trending,5074978,"Hom sets, isomorphisms and equivalence of categories [duplicate]",90,1,1,True,Ingeborg Carlsdotter,Jun 12 at 15:30
trending,5075023,How to evaluate $ I = \int_{-\infty}^\infty\frac{\cos(kx)}{\sqrt{x^2+a^2}}\exp\left(-k\sqrt{x^2 + a^2}\right)dx $?,126,4,1,False,kid,Jun 12 at 18:08
trending,5075545,Why is the angle $\arccos\left(\frac{1}{3}\right)$ always used in Banach-Tarski Paradox?,146,6,0,False,Blue2001,Jun 14 at 23:27
trending,5069959,How to prove the following $\neg (p\leftrightarrow q) \rightarrow ( p\leftrightarrow \neg q) $ by natural deduction,128,1,2,True,Fernando Martinez,May 24 at 17:00
trending,5065104,How many triangles are present in given figure.,1281,3,5,True,Mathematical science,May 14 at 10:53
trending,5074365,Diophantine equation $1176x=y^{4}$,110,1,1,False,user1543561,Jun 10 at 13:34
trending,5081896,Morita&#39;s Metrization Theorem,26,0,0,False,Grace53,Jul 9 at 15:36
trending,5073681,How do you scale an exponential function? [closed],163,1,1,False,Jon Wilson,Jun 8 at 0:01
trending,5073931,Construction of prime ideal in algebraic integer rings,139,0,1,True,Hetong Sun,Jun 9 at 2:44
trending,5076369,Convex hull in infinite-dimensional vector space,60,0,1,True,Ypbor,Jun 18 at 2:58
trending,5070233,An implicitly defined sequence related to the exponential function,498,8,3,False,Adren,May 25 at 21:18
trending,5075110,"Help with a year 12 algebra problem for investigation: $10 \, t \, e^{-t} + 10 \, (t-6) \, e^{6-t} = 1.1$",167,1,3,False,Matilda Crowe,Jun 13 at 5:01
trending,5074220,The Line HO Through Point D,121,3,2,True,SpaceGu,Jun 9 at 23:24
trending,5077184,The Relationship Between Partial Fraction Decomposition Coefficients of Rational Polynomials over R and C [closed],41,2,0,False,HiddenCloud,Jun 20 at 19:05
trending,5077226,Undecidability of halting problem and pattern matching,57,1,0,False,lafinur,Jun 20 at 22:42
trending,5074971,Is there an infinite set of integers whose pairwise sums are all distinct perfect squares? [duplicate],104,2,1,True,F. A. Mala,Jun 12 at 15:18
trending,5076929,An element of the modular group maps the lower half plane to itself?,44,0,1,False,Axty,Jun 20 at 1:43
trending,5075555,Rulings of a one sheet hyperboloid,67,1,0,False,Leonardo Sibilla,Jun 15 at 1:06
trending,5078767,How to model fixed costs that activate only when a quadratic variable is nonzero?,24,0,1,False,kyril,Jun 26 at 16:20
trending,5073624,What are the axioms of analytic geometry?,96,1,0,False,Nikolai Vorobiev,Jun 7 at 18:13
trending,5081885,Explicit calculation of the Hoelder exponent on a metric space.,15,0,0,False,Fisherman&#39;s Friend,Jul 9 at 14:44
trending,5073007,Ratio of divergent sums converges,156,2,1,False,Entrepreneur ,Jun 5 at 15:53
trending,5078471,Limitations on surfaces allowing for regular tilings?,22,1,0,False,Nathaniel Bubis,Jun 25 at 14:39
trending,5074389,Differentiating the matrix exponential of a block-triangular matrix [closed],82,-1,1,True,Desiderius Severus,Jun 10 at 14:46
trending,5074333,"Proving that $\frac{1}{|b-a|} + \frac{1}{|c-d|} - \frac{1}{|c-b|} - \frac{1}{|d-a|}$ is always positive if $|a-b| &gt;0$ and $c&lt;a$, $d&gt;b$.",84,2,2,False,Lizards,Jun 10 at 10:21
trending,5077928,Question about equivalent forms of Fourier Series,46,0,0,False,ProofSeeker,Jun 23 at 14:33
trending,5071754,Which system of axioms is used most often in modern geometry?,434,5,1,False,Nikolai Vorobiev,May 31 at 18:24
trending,5077987,"An integral estimation form Buser&#39;s book: Geometry and Spectra of Compact Riemann Surfaces, Chapter 7.",29,0,1,False,Noob mathematician,Jun 23 at 19:23
trending,5071561,When do projections preserve interiors?,304,4,2,True,Brevan Ellefsen,May 30 at 21:59
trending,5077223,Fourier transform of $\log(|x|)$ in arbitrary dimension. [duplicate],44,0,0,False,almosteverywhere,Jun 20 at 22:18
trending,5074356,How to translate direct product of groups tuple notation to Sagemath compatible form,88,3,1,True,Jfischer,Jun 10 at 12:37
trending,5076364,$\mathbb E[X\mid Y]=Y$ and $\mathbb E[Y\mid X]=X$ implies $X=Y$ [duplicate],84,2,0,False,Bruno Andrades,Jun 18 at 2:51
trending,5074568,Are these polynomials already known?,254,19,0,False,Claude Leibovici,Jun 11 at 5:48
trending,5069573,Rain and spells: A contradiction in conditional probability?,629,7,4,True,Varito,May 23 at 1:53
trending,5077077,Why is the parallel lines detail necessary in this informal Geometry proof?,52,0,0,False,Nate,Jun 20 at 11:59
trending,5075984,Strong amalgamation property in the theory of modal algebras,87,1,0,False,user1868607,Jun 16 at 18:16
trending,5074956,How do we find a recurrence relation for a single sum?,69,1,1,False,Przemo,Jun 12 at 14:11
trending,5074246,Expectation and variance of a stochastic process,166,4,1,False,Random guy,Jun 10 at 2:45
trending,5074193,"Show that $ \left( Y,y_0\right)^{(S^1, s_0)} \cong \left(Y,y_0\right)^{(I, \{0,1\})} $",76,1,1,True,Tales da Silva Amaral,Jun 9 at 20:52
trending,5076758,What is the fractal dimension of tetration fractal?,62,1,1,False,RDK,Jun 19 at 11:30
trending,5074672,Completely axiomatised categories,157,2,1,False,Carlyle,Jun 11 at 14:10
trending,5075465,Transforming a general quintic polynomial into $y^5 + py + q = 0$,111,3,1,True,Ivan_Rogers,Jun 14 at 15:04
trending,5076306,"Is the free algebra $R:=k\langle x,y \rangle$ over a field $k$ in two non-commuting variables $x,y$ hereditary?",63,3,1,True,Hussein Eid,Jun 17 at 20:08
trending,5077374,non-solvable IVP,39,0,0,False,ctst,Jun 21 at 13:07
trending,5076683,Divisor classes of Cubic surface,88,1,0,False,Thomas Blok,Jun 19 at 4:56
trending,5071634,What does the extra solution mean for this circular square?,266,5,2,False,whoisit,May 31 at 6:58
trending,5078976,Ignoring induction base case in substitution method,29,0,0,False,Lucas Giraldi,Jun 27 at 13:04
trending,5075190,How to denest radicals like $\sqrt{\frac12+\frac14\sqrt{\frac32}+\frac18\sqrt2}$ and $\frac14(\sqrt{4+\sqrt6-\sqrt2}+\sqrt{4-\sqrt6+\sqrt2})$?,161,2,1,False,Supernerd411,Jun 13 at 12:51
trending,5075230,Distributional Fourier expansion of $\cot$ or something else?,89,2,1,True,Tolaso,Jun 13 at 15:38
trending,5077528,What is the larger circle in roots of unity diagrams represent?,65,0,1,False,Svenn,Jun 22 at 1:27
trending,5076911,Arc lengths with higher order terms,68,1,0,False,user1641237,Jun 19 at 23:40
trending,5076557,Are natural numbers definable inside Robinson Arithmetic,79,2,1,True,Davide Peccioli,Jun 18 at 16:28
trending,5071683,"Is there a nicer, non algebraic way to find out the magnitude of the cross product of two vectors? [closed]",303,3,2,False,Arya Ghahremani,May 31 at 11:13
trending,5075759,How to quickly show divergent part in contour integral,84,0,1,True,MathFail,Jun 15 at 22:29
trending,5076756,Limit of a damped Dirichlet series for $\zeta$ in the critical strip,41,0,1,False,EGME,Jun 19 at 11:16
trending,5076574,On the number of unlabelled trees on $n$ vertices,74,1,0,False,Sayan Dutta,Jun 18 at 17:30
trending,5074613,"If $n&gt;4$ is a composite number, then $2n$ divides $(n-1)!$. [duplicate]",113,2,1,True,Mathisgreat,Jun 11 at 9:27
trending,5077052,How does one calculate rational cohomology of a group using proper actions?,37,1,1,False,Harsh Patil,Jun 20 at 10:25
trending,5076519,Balloons in 3-Regular Graphs: Tight Bound on Their Number?,57,4,1,True,F. A. Mala,Jun 18 at 14:01
trending,5057583,Expected value of highest variable so far,279,8,3,True,brised by Linear Algebra,Apr 19 at 7:14
trending,5077983,Is this a legitimate interpretation of OLS,65,0,0,False,Enk9456,Jun 23 at 19:03
trending,5077332,Limits are Limit Points,52,0,0,False,eeqesri,Jun 21 at 9:52
trending,5066248,"How do I evaluate the integral $\int_0^1 \frac{\sin ^n(\ln x)}{\ln ^m x}\,\mathrm d x$?",393,5,4,True,Lai,May 18 at 9:31
trending,5074300,Simplifying $ \sum_{k=1}^{m-1} p ^{k-1} \cdot q ^{m-k-1}$,65,2,1,True,Mař&#237;k Savenko,Jun 10 at 8:07
trending,5071041,Error in evaluating $\int_{0}^{\infty}\frac{x}{x^{2}+1}\frac{1}{e^{\pi x}+1}dx$ using a keyhole contour,266,9,2,True,Mark Girgis,May 28 at 22:02
